index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00121,2000,2000-06-23,4,3.0846,3.3151,3.3568,3.0833,2.8295,60739200
00122,2000,2000-06-26,0,3.457,3.1458,3.4766,3.0964,3.1711,61828800
00123,2000,2000-06-27,1,2.9688,3.4271,3.4844,2.8776,2.7232,60460800
00124,2000,2000-06-28,2,2.8542,3.0312,3.1458,2.7708,2.6181,58660800
00125,2000,2000-06-29,3,2.4427,2.8047,2.8047,2.3958,2.2407,118488000
00126,2000,2000-06-30,4,2.6484,2.5573,2.6927,2.4323,2.4294,120919200
00127,2000,2000-07-03,0,2.5469,2.6667,2.75,2.5208,2.3363,23268000
00128,2000,2000-07-05,2,2.2734,2.5365,2.5417,2.1979,2.0854,77793600
00129,2000,2000-07-06,3,2.4115,2.276,2.4948,2.2214,2.212,60393600
00130,2000,2000-07-07,4,2.4245,2.5,2.5417,2.375,2.224,34656000
00131,2000,2000-07-10,0,2.5495,2.3828,2.6094,2.3594,2.3386,35126400
00132,2000,2000-07-11,1,2.7552,2.5156,2.8854,2.487,2.5274,75530400
00133,2000,2000-07-12,2,2.8333,2.8698,2.9766,2.7786,2.599,38815200
00134,2000,2000-07-13,3,3.099,2.8932,3.1146,2.888,2.8427,45873600
00135,2000,2000-07-14,4,3.0755,3.1615,3.2214,3.0,2.8212,28020000
00136,2000,2000-07-17,0,3.0417,3.1224,3.125,3.0312,2.7901,10555200
00137,2000,2000-07-18,1,2.9818,2.875,3.125,2.875,2.7352,18367200
00138,2000,2000-07-19,2,2.7917,2.875,2.8958,2.7318,2.5608,18950400
00139,2000,2000-07-20,3,2.8672,2.7891,2.9375,2.7812,2.6301,14299200
00140,2000,2000-07-21,4,2.9036,2.875,2.9583,2.8333,2.6635,25192800
00141,2000,2000-07-24,0,2.6562,2.9062,2.9271,2.5417,2.4366,28111200
00142,2000,2000-07-25,1,2.5573,2.6979,2.7188,2.5521,2.3458,33530400
00143,2000,2000-07-26,2,2.3672,2.5573,2.5573,2.2969,2.1714,38006400
00144,2000,2000-07-27,3,2.1979,2.2917,2.3229,2.1667,2.0162,33156000
00145,2000,2000-07-28,4,2.25,2.2083,2.4141,2.0833,2.0639,51266400
