index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00029,2023,2023-02-09,3,6.8,6.798,6.828,6.65,6.1193,11725016
00030,2023,2023-02-10,4,6.74,6.78,6.818,6.696,6.0653,9963665
00031,2023,2023-02-13,0,6.831,6.75,6.841,6.749,6.1472,20099210
00032,2023,2023-02-14,1,6.875,6.849,6.957,6.809,6.1868,12319330
00033,2023,2023-02-15,2,6.882,6.856,6.904,6.811,6.1931,12556344
00034,2023,2023-02-16,3,7.01,6.915,7.015,6.914,6.3083,18847498
00035,2023,2023-02-17,4,6.976,6.953,7.015,6.927,6.2777,24243046
00036,2023,2023-02-20,0,6.973,7.001,7.023,6.964,6.275,5037248
00037,2023,2023-02-21,1,6.968,6.958,6.989,6.842,6.2705,8365012
00038,2023,2023-02-22,2,6.947,6.923,6.95,6.878,6.2516,11969996
00039,2023,2023-02-23,3,7.033,6.963,7.052,6.961,6.329,9957457
00040,2023,2023-02-24,4,7.028,7.037,7.109,7.02,6.3245,16494300
00041,2023,2023-02-27,0,7.187,7.07,7.22,7.064,6.4676,11033035
00042,2023,2023-02-28,1,7.373,7.151,7.45,7.129,6.635,35581494
00043,2023,2023-03-01,2,7.225,7.412,7.431,7.2,6.5018,15329341
00044,2023,2023-03-02,3,7.26,7.205,7.262,7.135,6.5333,9816692
00045,2023,2023-03-03,4,7.378,7.276,7.388,7.258,6.6395,8337400
00046,2023,2023-03-06,0,7.446,7.4,7.454,7.37,6.7007,6976496
00047,2023,2023-03-07,1,7.287,7.45,7.555,7.287,6.5576,14557618
00048,2023,2023-03-08,2,7.321,7.253,7.353,7.183,6.5882,8373407
00049,2023,2023-03-09,3,7.299,7.3,7.33,7.278,6.5684,7433930
00050,2023,2023-03-10,4,7.05,7.04,7.1,6.94,6.3443,20608192
00051,2023,2023-03-13,0,6.469,7.05,7.05,6.374,5.8215,43024277
00052,2023,2023-03-14,1,6.69,6.43,6.729,6.371,6.0203,24003341
00053,2023,2023-03-15,2,6.048,6.681,6.687,5.929,5.4426,49373416
00054,2023,2023-03-16,3,6.254,6.39,6.398,6.042,5.628,27258427
00055,2023,2023-03-17,4,6.036,6.275,6.405,5.967,5.4318,40145383
00056,2023,2023-03-20,0,6.231,5.99,6.329,5.735,5.6073,35743268
00057,2023,2023-03-21,1,6.567,6.358,6.632,6.356,5.9096,25123677
00058,2023,2023-03-22,2,6.585,6.538,6.754,6.489,5.9258,29831064
00059,2023,2023-03-23,3,6.413,6.45,6.579,6.374,5.7711,21269709
00060,2023,2023-03-24,4,6.129,6.35,6.35,6.021,5.5155,28578499
00061,2023,2023-03-27,0,6.256,6.252,6.332,6.122,5.6298,72800413
00062,2023,2023-03-28,1,6.344,6.35,6.399,6.241,5.709,137228110
00063,2023,2023-03-29,2,6.481,6.38,6.497,6.36,5.8322,70433496
00064,2023,2023-03-30,3,6.619,6.599,6.69,6.547,5.9564,73021084
00065,2023,2023-03-31,4,6.571,6.66,6.695,6.543,5.9132,48122106
00066,2023,2023-04-03,0,6.276,6.28,6.418,6.272,5.9274,14518491
00067,2023,2023-04-04,1,6.386,6.288,6.508,6.288,6.0313,11826658
00068,2023,2023-04-05,2,6.46,6.406,6.492,6.376,6.1012,14631330
00069,2023,2023-04-06,3,6.58,6.496,6.604,6.49,6.2145,12542691
00070,2023,2023-04-11,1,6.482,6.624,6.686,6.476,6.122,170543510
00071,2023,2023-04-12,2,6.598,6.486,6.678,6.486,6.2315,61418243
00072,2023,2023-04-13,3,6.628,6.598,6.664,6.586,6.2599,51063229
00073,2023,2023-04-14,4,6.806,6.65,6.806,6.616,6.428,64723921
00074,2023,2023-04-17,0,6.712,6.832,6.86,6.68,6.3392,18789938
00075,2023,2023-04-18,1,6.862,6.78,6.928,6.772,6.4809,15652964
00076,2023,2023-04-19,2,6.918,6.848,6.944,6.816,6.5337,12202973
00077,2023,2023-04-20,3,6.814,6.99,7.048,6.756,6.4355,11078945
00078,2023,2023-04-21,4,6.782,6.752,6.782,6.678,6.4053,14922354
00079,2023,2023-04-24,0,6.814,6.732,6.838,6.702,6.4355,10985379
00080,2023,2023-04-25,1,6.648,6.716,6.724,6.614,6.2787,9268063
00081,2023,2023-04-26,2,6.682,6.6,6.694,6.484,6.3109,11342926
00082,2023,2023-04-27,3,6.89,6.704,6.896,6.658,6.5073,12617198
00083,2023,2023-04-28,4,6.65,6.95,6.95,6.614,6.2806,14450654
00084,2023,2023-05-02,1,6.404,6.698,6.698,6.386,6.0483,12236629
00085,2023,2023-05-03,2,6.29,6.5,6.516,6.218,5.9406,23857409
00086,2023,2023-05-04,3,6.18,6.268,6.312,6.114,5.8367,11028201
00087,2023,2023-05-05,4,6.29,6.238,6.298,6.134,5.9406,14528798
00088,2023,2023-05-08,0,6.388,6.34,6.406,6.336,6.0332,5449964
00089,2023,2023-05-09,1,6.31,6.376,6.424,6.266,5.9595,6906884
00090,2023,2023-05-10,2,6.302,6.37,6.422,6.256,5.952,7762670
00091,2023,2023-05-11,3,6.538,6.3,6.57,6.298,6.1749,17816571
00092,2023,2023-05-12,4,6.598,6.576,6.652,6.568,6.2315,15091119
00093,2023,2023-05-15,0,6.322,6.466,6.528,6.276,5.9709,15645401
00094,2023,2023-05-16,1,6.3,6.316,6.35,6.244,5.9501,8067282
00095,2023,2023-05-17,2,6.368,6.25,6.368,6.25,6.0143,7951562
00096,2023,2023-05-18,3,6.464,6.44,6.504,6.406,6.105,8610107
00097,2023,2023-05-19,4,6.492,6.5,6.544,6.466,6.1314,13636849
00098,2023,2023-05-22,0,6.504,6.46,6.568,6.46,6.1427,11117836
00099,2023,2023-05-23,1,6.492,6.51,6.51,6.462,6.1314,6748187
00100,2023,2023-05-24,2,6.34,6.39,6.414,6.296,5.9879,17611234
00101,2023,2023-05-25,3,6.416,6.33,6.462,6.286,6.0596,13066698
00102,2023,2023-05-26,4,6.48,6.41,6.504,6.296,6.1201,8255268
00103,2023,2023-05-29,0,6.4,6.55,6.55,6.36,6.0445,5253842
00104,2023,2023-05-30,1,6.358,6.382,6.492,6.314,6.0049,10616285
00105,2023,2023-05-31,2,6.12,6.3,6.36,6.058,5.7801,83953672
00106,2023,2023-06-01,3,6.256,6.216,6.324,6.182,5.9085,8460690
00107,2023,2023-06-02,4,6.49,6.332,6.498,6.288,6.1295,12187475
00108,2023,2023-06-05,0,6.464,6.516,6.57,6.398,6.105,21451358
00109,2023,2023-06-06,1,6.478,6.434,6.486,6.398,6.1182,8163129
00110,2023,2023-06-07,2,6.488,6.492,6.51,6.364,6.1276,9036263
00111,2023,2023-06-08,3,6.586,6.54,6.686,6.522,6.2202,11152421
00112,2023,2023-06-09,4,6.51,6.594,6.634,6.426,6.1484,7305539
00113,2023,2023-06-12,0,6.554,6.554,6.606,6.498,6.19,7502358
00114,2023,2023-06-13,1,6.532,6.554,6.56,6.408,6.1692,14650742
00115,2023,2023-06-14,2,6.776,6.546,6.814,6.54,6.3996,17036727
00116,2023,2023-06-15,3,6.734,6.75,6.796,6.686,6.36,11095504
00117,2023,2023-06-16,4,6.79,6.758,6.838,6.716,6.4129,31481005
00118,2023,2023-06-19,0,6.798,6.772,6.856,6.758,6.4204,5922262
00119,2023,2023-06-20,1,6.74,6.764,6.808,6.714,6.3656,5884272
00120,2023,2023-06-21,2,6.77,6.744,6.858,6.72,6.394,7124768
00121,2023,2023-06-22,3,6.732,6.674,6.738,6.586,6.3581,9186356
00122,2023,2023-06-23,4,6.652,6.658,6.71,6.55,6.2825,11663237
00123,2023,2023-06-26,0,6.748,6.662,6.754,6.534,6.3732,9436517
00124,2023,2023-06-27,1,6.784,6.76,6.812,6.682,6.4072,9756756
00125,2023,2023-06-28,2,6.854,6.794,6.86,6.782,6.4733,8462242
00126,2023,2023-06-29,3,6.958,6.86,6.972,6.858,6.5715,12195683
00127,2023,2023-06-30,4,7.032,6.98,7.128,6.96,6.6414,18402410
00128,2023,2023-07-03,0,7.09,7.03,7.164,7.03,6.6962,7880415
00129,2023,2023-07-04,1,7.024,7.1,7.136,7.022,6.6339,5438141
00130,2023,2023-07-05,2,6.958,6.99,7.03,6.932,6.5715,8773124
00131,2023,2023-07-06,3,6.84,6.896,6.938,6.794,6.4601,9641714
00132,2023,2023-07-07,4,6.894,6.848,6.926,6.792,6.5111,7846775
00133,2023,2023-07-10,0,6.878,6.854,6.964,6.844,6.496,5715710
00134,2023,2023-07-11,1,6.942,6.916,6.97,6.834,6.5564,7168237
00135,2023,2023-07-12,2,7.106,6.954,7.128,6.954,6.7113,10063480
00136,2023,2023-07-13,3,7.092,7.076,7.154,7.04,6.6981,8373923
00137,2023,2023-07-14,4,7.08,7.09,7.176,7.062,6.6867,6840764
00138,2023,2023-07-17,0,7.098,7.078,7.134,7.036,6.7037,4278948
00139,2023,2023-07-18,1,7.162,7.146,7.174,7.064,6.7642,7145089
00140,2023,2023-07-19,2,7.104,7.18,7.206,7.05,6.7094,7150889
00141,2023,2023-07-20,3,7.194,7.126,7.228,7.118,6.7944,7862037
00142,2023,2023-07-21,4,7.126,7.19,7.19,7.062,6.7302,10145133
00143,2023,2023-07-24,0,7.118,6.968,7.118,6.91,6.7226,6611877
00144,2023,2023-07-25,1,7.13,7.12,7.162,7.088,6.734,4842545
00145,2023,2023-07-26,2,7.112,7.12,7.144,7.016,6.717,9332934
00146,2023,2023-07-27,3,7.22,7.15,7.22,7.094,6.819,13244340
00147,2023,2023-07-28,4,7.332,7.25,7.438,7.162,6.9248,21800288
00148,2023,2023-07-31,0,7.21,7.376,7.386,7.186,6.8095,11518870
00149,2023,2023-08-01,1,7.0,7.21,7.24,6.97,6.6112,11735986
00150,2023,2023-08-02,2,6.878,6.9,6.964,6.822,6.496,15647645
00151,2023,2023-08-03,3,6.872,6.83,6.884,6.762,6.4903,12325789
